EmployeeID,ManagerID,DepartmentID,FirstName,LastName,Salary,HireDate
1,,5,Nicole,Porter,8829.31,2021-03-16
2,1,3,Matthew,Scott,5994.4,2022-11-23
3,1,5,Samuel,Jones,6582.26,2018-04-01
4,3,5,Janet,Johnson,1266.44,2018-12-29
5,1,6,Marie,Rose,7296.93,2025-05-27
6,2,6,Dylan,White,4990.67,2021-07-22
7,5,10,Jason,Powell,986.85,2018-04-21
8,3,8,Mary,Gibson,6234.71,2020-11-01
9,2,3,Jamie,Brown,8084.58,2025-05-08
10,4,3,Gregory,Acevedo,3519.21,2022-07-24
11,1,2,Dylan,Garcia,5715.41,2024-08-31
12,2,2,Kathleen,Huff,2357.89,2021-05-24
13,12,4,Maria,Curtis,2915.07,2023-08-20
14,12,6,Tracy,Lawson,4940.72,2020-04-07
15,4,10,Tanya,Rodriguez,7764.52,2024-12-28
16,7,3,Frank,Chan,8967.94,2022-10-18
17,14,2,Eric,Ware,2182.14,2020-09-06
18,10,3,Nathan,Roberts,1513.36,2019-04-23
19,5,1,Mary,Powell,7823.41,2024-12-11
20,3,4,Angela,Johnson,5224.01,2020-07-05
21,2,2,Gregory,Garcia,3183.99,2021-06-04
22,18,1,Roger,Lane,1962.51,2023-11-24
23,20,1,Jared,Gates,5738.16,2025-03-25
24,17,2,Harold,Johnson,5952.6,2025-08-06
25,14,5,Henry,Gutierrez,8171.87,2019-10-09
26,7,2,Susan,Carroll,8315.22,2019-03-18
27,22,10,Andrea,Davis,8741.05,2018-05-28
28,17,3,Tiffany,Adams,1072.99,2020-06-07
29,7,6,Erika,Adams,4168.53,2024-04-19
30,24,4,Maria,Brown,1303.36,2019-09-13
31,8,7,Amy,Oneill,8857.61,2025-01-08
32,13,8,Shannon,Stephenson,916.81,2021-05-15
33,5,8,Katherine,Dorsey,1216.73,2025-05-07
34,14,9,Linda,Miller,9058.37,2019-01-13
35,8,9,Sandra,Griffin,8014.56,2023-05-17
36,19,1,Kimberly,Beasley,3482.17,2018-05-04
37,8,4,Gina,Pugh,7332.9,2019-10-13
38,2,4,Kelly,Gonzalez,3015.34,2020-12-15
39,38,6,Jack,Conley,4526.63,2023-07-13
40,5,5,Isaiah,Rangel,8985.91,2023-04-29
41,26,6,Nicholas,Walker,957.1,2023-07-25
42,30,6,Daniel,Stokes,7610.84,2019-09-21
43,23,8,Ernest,Ramirez,1859.43,2018-11-05
44,25,4,Scott,Werner,1529.65,2018-04-17
45,13,8,Ruth,Smith,9612.94,2023-08-26
46,5,2,Jeffrey,Hart,6662.3,2025-07-14
47,4,6,Judith,Avila,7797.21,2025-09-27
48,29,1,Mark,Brown,9559.42,2024-06-06
49,40,7,Nicole,Gilbert,8653.25,2020-04-22
50,4,7,Cheyenne,Hatfield,4229.8,2023-03-06
51,2,1,Mark,Hale,3715.55,2024-10-24
52,18,7,Jeffery,Jacobs,9174.37,2022-06-14
53,26,10,David,Haynes,2757.42,2019-07-15
54,50,4,Vickie,Snyder,2494.72,2023-03-05
55,4,1,Amber,Miller,5134.26,2025-08-22
56,21,9,Patricia,Wilson,8260.41,2018-04-19
57,38,8,Paul,Bailey,8719.82,2018-09-27
58,18,1,Brandon,Proctor,5770.56,2020-03-21
59,16,3,Anna,Patterson,2475.55,2020-06-01
60,55,1,David,Jordan,8071.18,2022-07-22
61,22,9,Robert,Foster,7871.84,2021-04-15
62,19,9,Mark,Jackson,7057.5,2024-03-11
63,13,10,Michelle,Tran,8802.61,2019-12-02
64,16,8,Kevin,Rowland,3616.52,2018-01-22
65,64,3,Brianna,Baker,1764.55,2021-08-24
66,19,6,Kaitlyn,Willis,5683.93,2021-10-15
67,36,6,Andrew,Sharp,3437.1,2019-04-07
68,28,10,William,Payne,7785.24,2024-06-17
69,54,1,Kevin,Smith,9653.01,2021-06-27
70,67,3,Kaitlin,Chaney,7871.54,2020-08-21
71,55,8,Karen,Mathis,5609.55,2020-04-24
72,71,8,Andrew,Williams,2276.34,2024-04-23
73,25,3,Alejandro,Espinoza,9547.34,2023-12-19
74,3,1,Dakota,Moyer,2877.74,2020-08-22
75,53,5,Megan,Larson,4614.17,2023-10-27
76,40,7,Gabriel,Ingram,4442.48,2021-01-25
77,67,7,Rebecca,Frank,7485.32,2025-12-25
78,35,2,Shirley,Macias,4171.79,2023-07-05
79,12,3,John,Johnson,770.47,2020-07-22
80,14,8,Jonathon,Armstrong,3596.0,2019-11-22
81,74,8,Austin,Perez,5015.54,2018-06-02
82,16,5,Rachel,Bailey,3840.16,2021-05-21
83,1,9,James,Clark,1393.01,2021-01-08
84,33,2,Adam,Jackson,3950.77,2020-01-01
85,70,2,Michael,Williams,7184.64,2025-12-23
86,28,7,Lisa,Bullock,8959.67,2018-10-25
87,54,9,Linda,Cooper,4059.61,2019-02-22
88,40,7,Teresa,Wilson,9207.36,2020-03-23
89,49,2,Nicole,Perez,1257.53,2024-10-24
90,22,7,Matthew,Murphy,7585.75,2018-04-01
91,43,6,Jennifer,Merritt,3661.94,2025-01-26
92,35,7,Jeremy,Sullivan,9724.94,2020-11-23
93,23,7,William,Spencer,5207.45,2020-10-07
94,49,9,Ann,Neal,7629.37,2020-08-06
95,64,8,Jared,Lee,1259.25,2020-12-29
96,4,4,Kimberly,Lee,3184.65,2025-08-03
97,35,6,Francis,Horn,3095.77,2021-10-16
98,73,6,Phillip,Martin,6875.84,2022-10-03
99,4,1,Ronald,Smith,2616.33,2018-01-29
100,12,2,Amanda,Reed,6169.35,2022-08-22
101,83,3,Julie,Ryan,1861.0,2019-09-06
102,29,9,Deanna,Martinez,4013.51,2024-08-01
103,61,5,Marie,Kramer,6995.09,2025-09-29
104,13,8,Karen,Davis,7539.95,2020-04-30
105,50,9,Nichole,Brown,2624.84,2022-02-14
106,85,1,Kimberly,Potter,9446.09,2021-08-23
107,87,8,Philip,Velez,606.17,2024-07-26
108,25,5,Cheryl,Mendez,682.02,2024-10-12
109,74,2,Stephanie,Wilson,4301.32,2022-01-17
110,5,9,John,Crawford,1489.62,2020-02-14
111,53,5,James,Castillo,8618.87,2018-03-20
112,31,5,Kyle,Watson,8235.97,2025-01-17
113,33,9,Ernest,Escobar,3011.3,2023-04-25
114,105,8,Patrick,Larson,725.69,2025-10-01
115,54,3,Michelle,Davidson,8180.52,2024-05-25
116,43,10,Ashley,Winters,3619.69,2025-12-17
117,16,5,Matthew,Odom,8188.49,2024-08-29
118,46,5,Connor,Anderson,3136.8,2022-05-05
119,55,10,Randall,Jones,3561.31,2019-07-21
120,107,2,Jeremy,Olson,9817.33,2025-10-24
121,61,6,Jesse,Morales,8509.51,2019-06-19
122,61,6,Sherry,Wyatt,2018.14,2018-02-01
123,2,2,Joshua,Flores,4383.1,2018-10-01
124,83,8,Elizabeth,Romero,2365.06,2021-06-07
125,60,10,Samantha,King,6757.73,2021-03-11
126,90,6,Curtis,Bullock,6016.73,2020-08-17
127,41,2,Jacqueline,Zamora,8234.7,2025-12-24
128,28,9,Ronald,West,2588.35,2019-10-27
129,109,5,Katie,Johnson,9130.69,2023-10-08
130,125,2,Ashley,Moore,6993.77,2025-08-31
131,12,1,Judy,Patel,1268.78,2018-02-22
132,120,9,Joseph,Baxter,9673.18,2019-02-28
133,33,10,Joseph,Lee,3125.15,2025-05-11
134,87,8,Janet,Brown,4288.34,2018-11-03
135,62,1,Hayley,Dalton,8621.78,2024-05-08
136,78,9,Michael,Stewart,3105.68,2025-11-02
137,74,3,Joseph,Cortez,6404.93,2025-02-22
138,63,6,Donald,Perkins,7250.88,2019-09-06
139,52,4,Daniel,Young,5040.58,2025-07-25
140,137,8,Maureen,Holmes,7244.24,2022-07-19
141,126,10,Scott,Lowery,9938.05,2019-05-26
142,54,1,Steven,Taylor,9215.72,2022-08-26
143,84,7,Steven,Dickson,3029.62,2023-02-13
144,121,2,Nicholas,Figueroa,8348.21,2021-10-31
145,133,9,Michelle,Hernandez,1646.99,2018-09-23
146,135,8,Clarence,Gardner,9613.94,2025-07-28
147,134,10,Jean,King,3064.91,2018-01-09
148,125,10,Lauren,Morris,1559.88,2022-09-03
149,31,2,Sarah,Moody,3286.69,2022-07-02
150,66,5,Brittany,Fitzgerald,4065.52,2025-04-14
151,21,2,Tanya,Turner,9993.84,2023-08-30
152,62,1,Amy,Vasquez,7679.19,2023-02-17
153,93,5,Ryan,Walters,2055.63,2021-05-21
154,126,4,Maria,Gonzalez,9612.35,2025-07-09
155,133,9,Jason,Young,8636.6,2021-10-10
156,48,4,George,Lawrence,5171.6,2025-07-03
157,124,5,Angela,Gomez,5771.85,2023-07-23
158,118,1,Michael,Williamson,942.46,2024-04-14
159,144,2,Brian,Peterson,6472.22,2021-10-27
160,63,3,Jennifer,Wade,3609.61,2019-01-24
161,41,2,Susan,Hill,7609.26,2024-03-22
162,8,9,Nicole,Cook,9701.56,2019-11-11
163,104,8,Wesley,Mueller,5888.81,2024-07-26
164,16,10,Jill,Moreno,4327.36,2022-07-21
165,106,1,Maria,Weaver,1824.66,2022-10-29
166,93,4,Teresa,Flores,5673.41,2020-05-30
167,147,6,Samuel,Leon,4809.99,2022-08-06
168,79,7,Derek,Kramer,7676.61,2025-07-01
169,136,3,Andrew,Romero,9760.88,2018-01-05
170,4,4,Raymond,Martinez,6955.51,2023-04-19
171,3,10,Breanna,Jackson,8490.7,2018-03-28
172,115,1,Kevin,Robinson,8183.13,2023-06-20
173,134,1,Kimberly,Golden,5466.21,2023-09-29
174,107,7,Jillian,Miller,7614.02,2024-07-03
175,58,3,Brenda,Jackson,751.21,2025-12-03
176,9,10,Erik,White,9653.46,2023-10-10
177,61,5,Michael,Fischer,5244.23,2024-08-29
178,40,7,Amanda,Gomez,5120.4,2021-06-01
179,139,8,Laura,Peck,8706.23,2025-09-03
180,46,10,Richard,Sherman,4334.52,2018-08-31
181,122,5,Vanessa,West,6862.7,2021-01-06
182,88,7,Andrea,Lopez,3439.96,2019-06-30
183,110,8,Kathleen,Gilmore,4193.61,2025-08-04
184,71,2,Debbie,Davis,7824.78,2023-09-20
185,42,9,Sonya,Mcguire,1388.44,2024-07-28
186,70,8,John,Hill,4975.64,2021-12-04
187,1,1,Karl,Berry,2260.78,2021-09-29
188,34,3,Brooke,French,985.7,2022-11-27
189,46,7,Catherine,Rios,6269.98,2020-07-13
190,15,4,Preston,Decker,1600.07,2022-05-13
191,170,5,Scott,Taylor,3715.01,2022-03-01
192,114,4,Raymond,Baker,2718.61,2024-11-10
193,184,1,Mariah,Cooper,9991.31,2023-03-06
194,193,5,Mary,Mccarty,7845.37,2018-06-10
195,188,7,Michael,Lee,2580.16,2018-12-21
196,111,9,Carl,Huff,3691.16,2025-04-05
197,39,5,Deborah,Smith,4863.85,2023-05-15
198,95,2,Jesse,Jones,1601.39,2025-12-10
199,143,4,Jo,Miller,5029.0,2025-02-05
200,148,10,Jeffrey,Wood,9841.07,2018-09-11
